"Indicator.Code","Indicator.Name"
"UIS.NE.1.ECD.F","New entrants to Grade 1 of primary education with early childhood education experience, female (number)"
"UIS.NE.1.G1","New entrants to Grade 1 of primary education, both sexes (number)"
"UIS.NE.1.G1.F","New entrants to Grade 1 of primary education, female (number)"
"UIS.FNP.1","New entrants to Grade 1 of primary education, percentage female (%)"
"UIS.CEAGE.1","Official entrance age to compulsory education (years)"
"SE.SEC.AGES","Official entrance age to lower secondary education (years)"
"UIS.THAGE.4.A.GPV","Official entrance age to post-secondary non-tertiary education (years)"
"UIS.THAGE.0","Official entrance age to pre-primary education (years)"
"SE.PRM.AGES","Official entrance age to primary education (years)"
"UIS.THAGE.3.A.GPV","Official entrance age to upper secondary education (years)"
"UIS.OMR.56","Outbound mobility ratio, all regions, both sexes (%)"
"UIS.OFST.2","Out-of-school adolescents of lower secondary school age, both sexes (number)"
"UIS.OFST.2.F","Out-of-school adolescents of lower secondary school age, female (number)"
"UIS.OFST.2.M","Out-of-school adolescents of lower secondary school age, male (number)"
"UIS.FOFSTP.2","Out-of-school adolescents of lower secondary school age, percentage female (%)"
"UIS.OFSPPT.1","Out-of-school children of primary school age in pre-primary education, both sexes (number)"
"UIS.OFSPPT.1.F","Out-of-school children of primary school age in pre-primary education, female (number)"
"UIS.OFSPPT.1.M","Out-of-school children of primary school age in pre-primary education, male (number)"
"SE.PRM.UNER","Out-of-school children of primary school age, both sexes (number)"
"SE.PRM.UNER.FE","Out-of-school children of primary school age, female (number)"
"SE.PRM.UNER.MA","Out-of-school children of primary school age, male (number)"
"UIS.FOFSTP.1","Out-of-school children of primary school age, percentage female (%)"
"UIS.OFST.3.CP","Out-of-school youth of upper secondary school age, both sexes (number)"
"UIS.OFST.3.F.CP","Out-of-school youth of upper secondary school age, female (number)"
"UIS.OFST.3.M.CP","Out-of-school youth of upper secondary school age, male (number)"
"UIS.FOFSTP.3","Out-of-school youth of upper secondary school age, percentage female (%)"
"UIS.OAPP.1","Over-age enrolment ratio in primary education, both sexes (%)"
"UIS.OAPP.1.F","Over-age enrolment ratio in primary education, female (%)"
"UIS.OAPP.1.M","Over-age enrolment ratio in primary education, male (%)"
"LO.PASEC.REA.2.L0","PASEC: 2nd grade students by language proficiency level (%). Below Level 1"
"LO.PASEC.REA.2.L1","PASEC: 2nd grade students by language proficiency level (%). Level 1"
"LO.PASEC.REA.2.L2","PASEC: 2nd grade students by language proficiency level (%). Level 2"
"LO.PASEC.REA.2.L3","PASEC: 2nd grade students by language proficiency level (%). Level 3"
"LO.PASEC.REA.2.L4","PASEC: 2nd grade students by language proficiency level (%). Level 4"
"LO.PASEC.MAT.2.L0","PASEC: 2nd grade students by mathematics proficiency level (%). Below Level 1"
"LO.PASEC.MAT.2.L1","PASEC: 2nd grade students by mathematics proficiency level (%). Level 1"
"LO.PASEC.MAT.2.L2","PASEC: 2nd grade students by mathematics proficiency level (%). Level 2"
"LO.PASEC.MAT.2.L3","PASEC: 2nd grade students by mathematics proficiency level (%). Level 3"
"LO.PASEC.FRE5.HIG.FE","PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), female"
"LO.PASEC.FRE5.HIG.MA","PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), male"
"LO.PASEC.FRE5.HIG","PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), total"
"LO.PASEC.MAT5.HIG.FE","PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), female"
"LO.PASEC.MAT5.HIG.MA","PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), male"
"LO.PASEC.MAT5.HIG","PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), total"
"LO.PASEC.FRE5.LO.FE","PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), female"
"LO.PASEC.FRE5.LO.MA","PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), male"
"LO.PASEC.FRE5.LO","PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), total"
"LO.PASEC.MAT5.LO.FE","PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), female"
"LO.PASEC.MAT5.LO.MA","PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), male"
"LO.PASEC.MAT5.LO","PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), total"
"LO.PASEC.MAT.6.L0","PASEC: 6th grade students by mathematics proficiency level (%). Below Level 1"
"LO.PASEC.MAT.6.L1","PASEC: 6th grade students by mathematics proficiency level (%). Level 1"
"LO.PASEC.MAT.6.L2","PASEC: 6th grade students by mathematics proficiency level (%). Level 2"
"LO.PASEC.MAT.6.L3","PASEC: 6th grade students by mathematics proficiency level (%). Level 3"
"LO.PASEC.REA.6.L0","PASEC: 6th grade students by reading proficiency level (%). Below Level 1"
"LO.PASEC.REA.6.L1","PASEC: 6th grade students by reading proficiency level (%). Level 1"
"LO.PASEC.REA.6.L2","PASEC: 6th grade students by reading proficiency level (%). Level 2"
"LO.PASEC.REA.6.L3","PASEC: 6th grade students by reading proficiency level (%). Level 3"
"LO.PASEC.REA.6.L4","PASEC: 6th grade students by reading proficiency level (%). Level 4"
"LO.PASEC.REA.2.MG.GAP","PASEC: Average performance gap between 2nd grade students in multigrade and standard classes. Language"
"LO.PASEC.MAT.2.MG.GAP","PASEC: Average performance gap between 2nd grade students in multigrade and standard classes. Mathematics"
"LO.PASEC.REA.2.PRI.GAP","PASEC: Average performance gap between 2nd grade students in private and public education. Language"
"LO.PASEC.MAT.2.PRI.GAP","PASEC: Average performance gap between 2nd grade students in private and public education. Mathematics"
"LO.PASEC.REA.2.RU.GAP","PASEC: Average performance gap between 2nd grade students in rural and urban areas. Language"
"LO.PASEC.MAT.2.RU.GAP","PASEC: Average performance gap between 2nd grade students in rural and urban areas. Mathematics"
"LO.PASEC.REA.2.PP.GAP","PASEC: Average performance gap between 2nd grade students who attended/did not attend pre-primary education. Language"
"LO.PASEC.MAT.2.PP.GAP","PASEC: Average performance gap between 2nd grade students who attended/did not attend pre-primary education. Mathematics"
"LO.PASEC.MAT.6.MG.GAP","PASEC: Average performance gap between 6th grade students in multigrade and standard classes. Mathematics"
"LO.PASEC.REA.6.MG.GAP","PASEC: Average performance gap between 6th grade students in multigrade and standard classes. Reading"
"LO.PASEC.MAT.6.PRI.GAP","PASEC: Average performance gap between 6th grade students in private and public education. Mathematics"
"LO.PASEC.REA.6.PRI.GAP","PASEC: Average performance gap between 6th grade students in private and public education. Reading"
"LO.PASEC.MAT.6.RU.GAP","PASEC: Average performance gap between 6th grade students in rural and urban areas. Mathematics"
"LO.PASEC.REA.6.RU.GAP","PASEC: Average performance gap between 6th grade students in rural and urban areas. Reading"
"LO.PASEC.MAT.6.PP.GAP","PASEC: Average performance gap between 6th grade students who attended/did not attend pre-primary education. Mathematics"
"LO.PASEC.REA.6.PP.GAP","PASEC: Average performance gap between 6th grade students who attended/did not attend pre-primary education. Reading"
"LO.PASEC.REA.2.P10","PASEC: Distribution of 2nd grade language scores: 10th Percentile Score"
"LO.PASEC.REA.2.P1","PASEC: Distribution of 2nd grade language scores: 1st Percentile Score"
"LO.PASEC.REA.2.P25","PASEC: Distribution of 2nd grade language scores: 25th Percentile Score"
"LO.PASEC.REA.2.P50","PASEC: Distribution of 2nd grade language scores: 50th Percentile Score"
"LO.PASEC.REA.2.P05","PASEC: Distribution of 2nd grade language scores: 5th Percentile Score"
"LO.PASEC.REA.2.P75","PASEC: Distribution of 2nd grade language scores: 75th Percentile Score"
"LO.PASEC.REA.2.P90","PASEC: Distribution of 2nd grade language scores: 90th Percentile Score"
"LO.PASEC.REA.2.P95","PASEC: Distribution of 2nd grade language scores: 95th Percentile Score"
"LO.PASEC.REA.2.P99","PASEC: Distribution of 2nd grade language scores: 99th Percentile Score"
"LO.PASEC.MAT.2.P10","PASEC: Distribution of 2nd grade mathematics scores: 10th Percentile Score"
"LO.PASEC.MAT.2.P1","PASEC: Distribution of 2nd grade mathematics scores: 1st Percentile Score"
"LO.PASEC.MAT.2.P25","PASEC: Distribution of 2nd grade mathematics scores: 25th Percentile Score"
"LO.PASEC.MAT.2.P50","PASEC: Distribution of 2nd grade mathematics scores: 50th Percentile Score"
"LO.PASEC.MAT.2.P05","PASEC: Distribution of 2nd grade mathematics scores: 5th Percentile Score"
"LO.PASEC.MAT.2.P75","PASEC: Distribution of 2nd grade mathematics scores: 75th Percentile Score"
"LO.PASEC.MAT.2.P90","PASEC: Distribution of 2nd grade mathematics scores: 90th Percentile Score"
"LO.PASEC.MAT.2.P95","PASEC: Distribution of 2nd grade mathematics scores: 95th Percentile Score"
"LO.PASEC.MAT.2.P99","PASEC: Distribution of 2nd grade mathematics scores: 99th Percentile Score"
"LO.PASEC.REA.2.LTR.0T5","PASEC: Distribution of 2nd grade students by average number of letters read accurately in one minute. 0 to 5 Letters"
"LO.PASEC.REA.2.LTR.11T20","PASEC: Distribution of 2nd grade students by average number of letters read accurately in one minute. 11 to 20 Letters"
"LO.PASEC.REA.2.LTR.20UP","PASEC: Distribution of 2nd grade students by average number of letters read accurately in one minute. 20+ Letters"
"LO.PASEC.REA.2.LTR.6T10","PASEC: Distribution of 2nd grade students by average number of letters read accurately in one minute. 6 to 10 Letters"
"LO.PASEC.REA.2.WRD.0","PASEC: Distribution of 2nd grade students by average number of words read accurately in one minute. 0 Words"
"LO.PASEC.REA.2.WRD.1T5","PASEC: Distribution of 2nd grade students by average number of words read accurately in one minute. 1 to 5 Words"
"LO.PASEC.REA.2.WRD.11T20","PASEC: Distribution of 2nd grade students by average number of words read accurately in one minute. 11 to 20 Words"
"LO.PASEC.REA.2.WRD.20UP","PASEC: Distribution of 2nd grade students by average number of words read accurately in one minute. 20+ Words"
"LO.PASEC.REA.2.WRD.6T10","PASEC: Distribution of 2nd grade students by average number of words read accurately in one minute. 6 to 10 Words"
"LO.PASEC.MAT.2.CNT.0T60","PASEC: Distribution of 2nd grade students by last number reached when counting out loud. 0 to 60"
"LO.PASEC.MAT.2.CNT.61T80","PASEC: Distribution of 2nd grade students by last number reached when counting out loud. 61 to 80"
"LO.PASEC.MAT.2.CNT.80UP","PASEC: Distribution of 2nd grade students by last number reached when counting out loud. 80+"
"LO.PASEC.FRE.P10","PASEC: Distribution of 5th Grade French Scores: 10th Percentile Score"
"LO.PASEC.FRE.P25","PASEC: Distribution of 5th Grade French Scores: 25th Percentile Score"
"LO.PASEC.FRE.P50","PASEC: Distribution of 5th Grade French Scores: 50th Percentile Score"
"LO.PASEC.FRE.P05","PASEC: Distribution of 5th Grade French Scores: 5th Percentile Score"
"LO.PASEC.FRE.P75","PASEC: Distribution of 5th Grade French Scores: 75th Percentile Score"
"LO.PASEC.FRE.P90","PASEC: Distribution of 5th Grade French Scores: 90th Percentile Score"
"LO.PASEC.FRE.P95","PASEC: Distribution of 5th Grade French Scores: 95th Percentile Score"
"LO.PASEC.MAT.P10","PASEC: Distribution of 5th Grade Mathematics Scores: 10th Percentile Score"
"LO.PASEC.MAT.P25","PASEC: Distribution of 5th Grade Mathematics Scores: 25th Percentile Score"
"LO.PASEC.MAT.P50","PASEC: Distribution of 5th Grade Mathematics Scores: 50th Percentile Score"
"LO.PASEC.MAT.P05","PASEC: Distribution of 5th Grade Mathematics Scores: 5th Percentile Score"
"LO.PASEC.MAT.P75","PASEC: Distribution of 5th Grade Mathematics Scores: 75th Percentile Score"
"LO.PASEC.MAT.P90","PASEC: Distribution of 5th Grade Mathematics Scores: 90th Percentile Score"
"LO.PASEC.MAT.P95","PASEC: Distribution of 5th Grade Mathematics Scores: 95th Percentile Score"
"LO.PASEC.MAT.6.P10","PASEC: Distribution of 6th grade mathematics scores: 10th Percentile Score"
"LO.PASEC.MAT.6.P1","PASEC: Distribution of 6th grade mathematics scores: 1st Percentile Score"
"LO.PASEC.MAT.6.P25","PASEC: Distribution of 6th grade mathematics scores: 25th Percentile Score"
"LO.PASEC.MAT.6.P50","PASEC: Distribution of 6th grade mathematics scores: 50th Percentile Score"
"LO.PASEC.MAT.6.P05","PASEC: Distribution of 6th grade mathematics scores: 5th Percentile Score"
"LO.PASEC.MAT.6.P75","PASEC: Distribution of 6th grade mathematics scores: 75th Percentile Score"
"LO.PASEC.MAT.6.P90","PASEC: Distribution of 6th grade mathematics scores: 90th Percentile Score"
"LO.PASEC.MAT.6.P95","PASEC: Distribution of 6th grade mathematics scores: 95th Percentile Score"
"LO.PASEC.MAT.6.P99","PASEC: Distribution of 6th grade mathematics scores: 99th Percentile Score"
"LO.PASEC.REA.6.P10","PASEC: Distribution of 6th grade reading scores: 10th Percentile Score"
"LO.PASEC.REA.6.P1","PASEC: Distribution of 6th grade reading scores: 1st Percentile Score"
"LO.PASEC.REA.6.P25","PASEC: Distribution of 6th grade reading scores: 25th Percentile Score"
"LO.PASEC.REA.6.P50","PASEC: Distribution of 6th grade reading scores: 50th Percentile Score"
"LO.PASEC.REA.6.P05","PASEC: Distribution of 6th grade reading scores: 5th Percentile Score"
"LO.PASEC.REA.6.P75","PASEC: Distribution of 6th grade reading scores: 75th Percentile Score"
"LO.PASEC.REA.6.P90","PASEC: Distribution of 6th grade reading scores: 90th Percentile Score"
"LO.PASEC.REA.6.P95","PASEC: Distribution of 6th grade reading scores: 95th Percentile Score"
"LO.PASEC.REA.6.P99","PASEC: Distribution of 6th grade reading scores: 99th Percentile Score"
"LO.PASEC.FRE5.FE","PASEC: Mean performance on the French language scale (100 points) for 5th grade students, female"
"LO.PASEC.FRE5.MA","PASEC: Mean performance on the French language scale (100 points) for 5th grade students, male"
"LO.PASEC.FRE5","PASEC: Mean performance on the French language scale (100 points) for 5th grade students, total"
"LO.PASEC.REA.2.PP","PASEC: Mean performance on the language scale for 2nd grade students who attended pre-primary education"
"LO.PASEC.REA.2.NPP","PASEC: Mean performance on the language scale for 2nd grade students who did not attend pre-primary education"
"LO.PASEC.REA.2.FE","PASEC: Mean performance on the language scale for 2nd grade students. Female"
"LO.PASEC.REA.2.MA","PASEC: Mean performance on the language scale for 2nd grade students. Male"
"LO.PASEC.REA.2","PASEC: Mean performance on the language scale for 2nd grade students. Total"
"LO.PASEC.MAT5.FE","PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, female"
"LO.PASEC.MAT5.MA","PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, male"
"LO.PASEC.MAT5","PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, total"
"LO.PASEC.MAT.2.PP","PASEC: Mean performance on the mathematics scale for 2nd grade students who attended pre-primary education"
"LO.PASEC.MAT.2.NPP","PASEC: Mean performance on the mathematics scale for 2nd grade students who did not attend pre-primary education"
"LO.PASEC.MAT.2.FE","PASEC: Mean performance on the mathematics scale for 2nd grade students. Female"
"LO.PASEC.MAT.2.MA","PASEC: Mean performance on the mathematics scale for 2nd grade students. Male"
"LO.PASEC.MAT.2","PASEC: Mean performance on the mathematics scale for 2nd grade students. Total"
"LO.PASEC.MAT.6.PP","PASEC: Mean performance on the mathematics scale for 6th grade students who attended pre-primary education"
"LO.PASEC.MAT.6.NPP","PASEC: Mean performance on the mathematics scale for 6th grade students who did not attend pre-primary education"
"LO.PASEC.MAT.6.FE","PASEC: Mean performance on the mathematics scale for 6th grade students. Female"
"LO.PASEC.MAT.6.MA","PASEC: Mean performance on the mathematics scale for 6th grade students. Male"
"LO.PASEC.MAT.6","PASEC: Mean performance on the mathematics scale for 6th grade students. Total"
"LO.PASEC.REA.6.PP","PASEC: Mean performance on the reading scale for 6th grade students who attended pre-primary education"
"LO.PASEC.REA.6.NPP","PASEC: Mean performance on the reading scale for 6th grade students who did not attend pre-primary education"
"LO.PASEC.REA.6.FE","PASEC: Mean performance on the reading scale for 6th grade students. Female"
"LO.PASEC.REA.6.MA","PASEC: Mean performance on the reading scale for 6th grade students. Male"
"LO.PASEC.REA.6","PASEC: Mean performance on the reading scale for 6th grade students. Total"
"LO.PASEC.MAT.2.ADD2","PASEC: Percentage of 2nd grade students correcting answering the addition problem: 14+23"
"LO.PASEC.MAT.2.ADD3","PASEC: Percentage of 2nd grade students correcting answering the addition problem: 39+26"
"LO.PASEC.MAT.2.ADD1","PASEC: Percentage of 2nd grade students correcting answering the addition problem: 8+5"
"LO.PASEC.MAT.2.SUB1","PASEC: Percentage of 2nd grade students correcting answering the subtraction problem: 13-7"
"LO.PASEC.MAT.2.SUB2","PASEC: Percentage of 2nd grade students correcting answering the subtraction problem: 34-11"
"LO.PASEC.MAT.2.SUB3","PASEC: Percentage of 2nd grade students correcting answering the subtraction problem: 50-18"
"UIS.FEP.56.FOREIGN","Percentage of all inbound internationally mobile students in tertiary education in the host country who are female, (%)"
"UIS.TEP.5.B","Percentage of all students in tertiary education enrolled in ISCED 5, both sexes (%)"
"UIS.TEP.6","Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%)"
"UIS.TEP.7","Percentage of all students in tertiary education enrolled in ISCED 7, both sexes (%)"
"UIS.TEP.8","Percentage of all students in tertiary education enrolled in ISCED 8, both sexes (%)"
"UIS.PRP.0","Percentage of enrolment in early childhood education programmes in private institutions (%)"
"UIS.PRP.01","Percentage of enrolment in early childhood educational development programmes in private institutions (%)"
"UIS.PRP.2","Percentage of enrolment in lower secondary education in private institutions (%)"
"UIS.PRP.4","Percentage of enrolment in post-secondary non-tertiary education in private institutions (%)"
"SE.PRE.PRIV.ZS","Percentage of enrolment in pre-primary education in private institutions (%)"
"SE.PRM.PRIV.ZS","Percentage of enrolment in primary education in private institutions (%)"
"SE.SEC.PRIV.ZS","Percentage of enrolment in secondary education in private institutions (%)"
"SE.TER.PRIV.ZS","Percentage of enrolment in tertiary education in private institutions (%)"
"UIS.PRP.3","Percentage of enrolment in upper secondary education in private institutions (%)"
"SE.TER.GRAD.AG.FE.ZS","Percentage of female graduates from tertiary education graduating from Agriculture programmes, female (%)"
"SE.TER.GRAD.ED.FE.ZS","Percentage of female graduates from tertiary education graduating from Education programmes, female (%)"
"SE.TER.GRAD.EN.FE.ZS","Percentage of female graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, female (%)"
"SE.TER.GRAD.HL.FE.ZS","Percentage of female graduates from tertiary education graduating from Health and Welfare programmes, female (%)"
"SE.TER.GRAD.HU.FE.ZS","Percentage of female graduates from tertiary education graduating from Humanities and Arts programmes, female (%)"
"SE.TER.GRAD.OT.FE.ZS","Percentage of female graduates from tertiary education graduating from programmes in unspecified fields, female (%)"
"SE.TER.GRAD.SC.FE.ZS","Percentage of female graduates from tertiary education graduating from Science programmes, female (%)"
"SE.TER.GRAD.SV.FE.ZS","Percentage of female graduates from tertiary education graduating from Services programmes, female (%)"
"SE.TER.GRAD.SS.FE.ZS","Percentage of female graduates from tertiary education graduating from Social Sciences, Business and Law programmes, female (%)"
"UIS.OAEP.1.F","Percentage of female students enrolled in primary education who are over-age, female (%)"
"UIS.UAEP.1.F","Percentage of female students enrolled in primary education who are under-age, female (%)"
"UIS.GTVP.2.GPV.F","Percentage of female students in lower secondary education enrolled in general programmes, female (%)"
"UIS.GTVP.2.V.F","Percentage of female students in lower secondary education enrolled in vocational programmes, female (%)"
"UIS.GTVP.4.GPV.F","Percentage of female students in post-secondary non-tertiary education enrolled in general programmes, female (%)"
"UIS.GTVP.4.V.F","Percentage of female students in post-secondary non-tertiary education enrolled in vocational programmes, female (%)"
"UIS.GTVP.23.GPV.F","Percentage of female students in secondary education enrolled in general programmes, female (%)"
"SE.SEC.ENRL.FE.VO.ZS","Percentage of female students in secondary education enrolled in vocational programmes, female (%)"
"UIS.FOSEP.56.F600.F","Percentage of female students in tertiary education enrolled in Agriculture programmes, female (%)"
"UIS.FOSEP.56.F140.F","Percentage of female students in tertiary education enrolled in Education programmes, female (%)"
"UIS.FOSEP.56.F500.F","Percentage of female students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, female (%)"
"UIS.FOSEP.56.F700.F","Percentage of female students in tertiary education enrolled in Health and Welfare programmes, female (%)"
"UIS.FOSEP.56.F200.F","Percentage of female students in tertiary education enrolled in Humanities and Arts programmes, female (%)"
"UIS.TEP.5.B.F","Percentage of female students in tertiary education enrolled in ISCED 5"
"UIS.TEP.6.F","Percentage of female students in tertiary education enrolled in ISCED 6"
"UIS.TEP.7.F","Percentage of female students in tertiary education enrolled in ISCED 7"
"UIS.TEP.8.F","Percentage of female students in tertiary education enrolled in ISCED 8"
"UIS.FOSEP.56.FUK.F","Percentage of female students in tertiary education enrolled in programmes in unspecified fields, female (%)"
"UIS.FOSEP.56.F400.F","Percentage of female students in tertiary education enrolled in Science programmes, female (%)"
"UIS.FOSEP.56.F800.F","Percentage of female students in tertiary education enrolled in Services programmes, female (%)"
"UIS.FOSEP.56.F300.F","Percentage of female students in tertiary education enrolled in Social Sciences, Business and Law programmes, female (%)"
"UIS.GTVP.3.GPV.F","Percentage of female students in upper secondary education enrolled in general programmes, female (%)"
"UIS.GTVP.3.V.F","Percentage of female students in upper secondary education enrolled in vocational programmes, female (%)"
"UIS.TRTP.2.F","Percentage of female teachers in lower secondary education who are trained, female (%)"
"UIS.TRTP.4.F","Percentage of female teachers in post-secondary non-tertiary education who are trained, female (%)"
"UIS.TRTP.0.F","Percentage of female teachers in pre-primary education who are trained, female (%)"
"SE.PRM.TCAQ.FE.ZS","Percentage of female teachers in primary education who are trained, female (%)"
"SE.SEC.TCAQ.FE.ZS","Percentage of female teachers in secondary education who are trained, female (%)"
"UIS.TRTP.3.F","Percentage of female teachers in upper secondary education who are trained, female (%)"
"SE.TER.GRAD.FE.AG.ZS","Percentage of graduates from Agriculture programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.ED.ZS","Percentage of graduates from Education programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.EN.ZS","Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.HL.ZS","Percentage of graduates from Health and Welfare programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.HU.ZS","Percentage of graduates from Humanities and Arts programmes in tertiary education who are female (%)"
"UIS.FGP.56.FNON400500","Percentage of graduates from non-science and non-technology fields in tertiary education who are female (%)"
"SE.TER.GRAD.FE.OT.ZS","Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%)"
"UIS.FGP.56.F400500","Percentage of graduates from Science and Technology programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.SC.ZS","Percentage of graduates from Science programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.SV.ZS","Percentage of graduates from Services programmes in tertiary education who are female (%)"
"SE.TER.GRAD.FE.SS.ZS","Percentage of graduates from Social Sciences, Business and Law programmes in tertiary education who are female (%)"
"SE.TER.GRAD.AG.ZS","Percentage of graduates from tertiary education graduating from Agriculture programmes, both sexes (%)"
"SE.TER.GRAD.ED.ZS","Percentage of graduates from tertiary education graduating from Education programmes, both sexes (%)"
"SE.TER.GRAD.EN.ZS","Percentage of graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, both sexes (%)"
"SE.TER.GRAD.HL.ZS","Percentage of graduates from tertiary education graduating from Health and Welfare programmes, both sexes (%)"
"SE.TER.GRAD.HU.ZS","Percentage of graduates from tertiary education graduating from Humanities and Arts programmes, both sexes (%)"
"SE.TER.GRAD.OT.ZS","Percentage of graduates from tertiary education graduating from programmes in unspecified fields, both sexes (%)"
"SE.TER.GRAD.SC.ZS","Percentage of graduates from tertiary education graduating from Science programmes, both sexes (%)"
"SE.TER.GRAD.SV.ZS","Percentage of graduates from tertiary education graduating from Services programmes, both sexes (%)"
"SE.TER.GRAD.SS.ZS","Percentage of graduates from tertiary education graduating from Social Sciences, Business and Law programmes, both sexes (%)"
"SE.TER.GRAD.FE.ZS","Percentage of graduates from tertiary education who are female (%)"
"UIS.FGP.5.B","Percentage of graduates from tertiary ISCED 5 programmes who are female (%)"
"UIS.FGP.6","Percentage of graduates from tertiary ISCED 6 programmes who are female (%)"
"UIS.FGP.7","Percentage of graduates from tertiary ISCED 7 programmes who are female (%)"
"UIS.FGP.8","Percentage of graduates from tertiary ISCED 8 programmes who are female (%)"
"UIS.FOSGP.56.F600.M","Percentage of male graduates from tertiary education graduating from Agriculture programmes, male (%)"
"UIS.FOSGP.56.F140.M","Percentage of male graduates from tertiary education graduating from Education programmes, male (%)"
"UIS.FOSGP.56.F500.M","Percentage of male graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, male (%)"
"UIS.FOSGP.56.F700.M","Percentage of male graduates from tertiary education graduating from Health and Welfare programmes, male (%)"
"UIS.FOSGP.56.F200.M","Percentage of male graduates from tertiary education graduating from Humanities and Arts programmes, male (%)"
"UIS.FOSGP.56.FUK.M","Percentage of male graduates from tertiary education graduating from programmes in unspecified fields, male (%)"
"UIS.FOSGP.56.F400.M","Percentage of male graduates from tertiary education graduating from Science programmes, male (%)"
"UIS.FOSGP.56.F800.M","Percentage of male graduates from tertiary education graduating from Services programmes, male (%)"
"UIS.FOSGP.56.F300.M","Percentage of male graduates from tertiary education graduating from Social Sciences, Business and Law programmes, male (%)"
"UIS.OAEP.1.M","Percentage of male students enrolled in primary education who are over-age, male (%)"
"UIS.UAEP.1.M","Percentage of male students enrolled in primary education who are under-age, male (%)"
"UIS.GTVP.2.GPV.M","Percentage of male students in lower secondary education enrolled in general programmes, male (%)"
"UIS.GTVP.2.V.M","Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)"
"UIS.GTVP.4.GPV.M","Percentage of male students in post-secondary non-tertiary education enrolled in general programmes, male (%)"
"UIS.GTVP.4.V.M","Percentage of male students in post-secondary non-tertiary education enrolled in vocational programmes, male (%)"
"UIS.GTVP.23.GPV.M","Percentage of male students in secondary education enrolled in general programmes, male (%)"
"SE.SEC.ENRL.MA.VO.ZS","Percentage of male students in secondary education enrolled in vocational programmes, male (%)"
"UIS.FOSEP.56.F600.M","Percentage of male students in tertiary education enrolled in Agriculture programmes, male (%)"
"UIS.FOSEP.56.F140.M","Percentage of male students in tertiary education enrolled in Education programmes, male (%)"
"UIS.FOSEP.56.F500.M","Percentage of male students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, male (%)"
"UIS.FOSEP.56.F700.M","Percentage of male students in tertiary education enrolled in Health and Welfare programmes, male (%)"
"UIS.FOSEP.56.F200.M","Percentage of male students in tertiary education enrolled in Humanities and Arts programmes, male (%)"
"UIS.TEP.5.B.M","Percentage of male students in tertiary education enrolled in ISCED 5"
"UIS.TEP.6.M","Percentage of male students in tertiary education enrolled in ISCED 6"
"UIS.TEP.7.M","Percentage of male students in tertiary education enrolled in ISCED 7"
"UIS.TEP.8.M","Percentage of male students in tertiary education enrolled in ISCED 8"
"UIS.FOSEP.56.FUK.M","Percentage of male students in tertiary education enrolled in programmes in unspecified fields, male (%)"
"UIS.FOSEP.56.F400.M","Percentage of male students in tertiary education enrolled in Science programmes, male (%)"
"UIS.FOSEP.56.F800.M","Percentage of male students in tertiary education enrolled in Services programmes, male (%)"
"UIS.FOSEP.56.F300.M","Percentage of male students in tertiary education enrolled in Social Sciences, Business and Law programmes, male (%)"
"UIS.GTVP.3.GPV.M","Percentage of male students in upper secondary education enrolled in general programmes, male (%)"
"UIS.GTVP.3.V.M","Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)"
"UIS.TRTP.2.M","Percentage of male teachers in lower secondary education who are trained, male (%)"
"UIS.TRTP.4.M","Percentage of male teachers in post-secondary non-tertiary education who are trained, male (%)"
